Order,Length_1,Length_2,Length_3,Length_4,Length_5,Rule_1,Rule_2,Rule_3,Rule_4,Rule_5
497,7,12,4,3,4,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x > 0.5) & (bottom-middle-square-o > 0.5) & (bottom-right-square-b > 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-middle-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5) & (top-right-square-b <= 0.5) & (middle-right-square-x > 0.5) & (middle-left-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
498,8,12,5,9,7,(bottom-right-square-o > 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-right-square-b <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b > 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-middle-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5) & (top-right-square-b <= 0.5) & (middle-right-square-x > 0.5) & (middle-left-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (top-left-square-b > 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o > 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-left-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5)
499,7,12,5,13,8,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x <= 0.5) & (top-left-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (middle-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-middle-square-x > 0.5) & (bottom-middle-square-x <= 0.5) & (top-middle-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x <= 0.5) & (top-right-square-b <= 0.5) & (middle-right-square-x > 0.5) & (middle-left-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (top-left-square-b > 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o > 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (top-middle-square-x > 0.5) & (bottom-left-square-b > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (bottom-middle-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-o <= 0.5)
500,11,7,4,3,4,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-x > 0.5) & (middle-right-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-b > 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-middle-square-x > 0.5) & (bottom-middle-square-x > 0.5) & (top-middle-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
501,10,7,5,9,7,(bottom-right-square-o > 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-right-square-b <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-middle-square-b <= 0.5) & (top-middle-square-b <= 0.5) & (middle-right-square-b > 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-middle-square-x > 0.5) & (bottom-middle-square-x > 0.5) & (top-middle-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (top-left-square-b > 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o > 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-left-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5)
502,12,7,4,3,4,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x > 0.5) & (bottom-middle-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (top-left-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (top-middle-square-o <= 0.5) & (bottom-middle-square-x > 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x <= 0.5) & (middle-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-x > 0.5) & (middle-middle-square-x > 0.5) & (bottom-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
503,6,7,5,10,8,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x > 0.5) & (middle-left-square-o > 0.5) & (bottom-left-square-x <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-x > 0.5) & (middle-middle-square-x > 0.5) & (bottom-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (top-left-square-b > 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o > 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (bottom-left-square-x <= 0.5)
504,7,8,4,3,4,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-x <= 0.5) & (top-right-square-o > 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
505,7,7,4,3,4,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-x <= 0.5) & (top-right-square-o > 0.5) & (bottom-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
506,7,8,5,10,9,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x > 0.5) & (middle-left-square-o > 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-x <= 0.5) & (top-right-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-x <= 0.5) & (top-right-square-o > 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (top-left-square-b > 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o > 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-o > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-b > 0.5)
507,10,7,4,3,4,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-x <= 0.5) & (middle-right-square-o <= 0.5) & (middle-left-square-o > 0.5) & (bottom-right-square-b <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-x <= 0.5) & (top-right-square-o > 0.5) & (bottom-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
508,7,7,4,3,4,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-x <= 0.5) & (top-right-square-o > 0.5) & (bottom-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
509,7,8,10,8,5,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (middle-left-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-left-square-x > 0.5) & (middle-right-square-x <= 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-middle-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-left-square-o <= 0.5) & (top-left-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (top-right-square-b <= 0.5) & (middle-left-square-o > 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-x > 0.5) & (top-middle-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (top-right-square-o > 0.5) & (bottom-middle-square-o <= 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (bottom-middle-square-x > 0.5)
510,7,8,4,3,4,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-x <= 0.5) & (top-right-square-o > 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
511,11,7,5,7,7,(bottom-right-square-o > 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-right-square-b <= 0.5) & (top-left-square-o <= 0.5) & (middle-left-square-x <= 0.5) & (top-middle-square-x > 0.5) & (top-right-square-o > 0.5) & (middle-left-square-o <= 0.5) & (middle-right-square-b <= 0.5) & (top-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-middle-square-x > 0.5) & (bottom-middle-square-x > 0.5) & (top-middle-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (top-left-square-b > 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o > 0.5) & (middle-left-square-b > 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5)
512,9,7,4,3,4,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-x <= 0.5) & (middle-right-square-o > 0.5) & (bottom-middle-square-b <= 0.5) & (top-middle-square-b <= 0.5) & (top-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-middle-square-x > 0.5) & (bottom-middle-square-x > 0.5) & (top-middle-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
513,7,7,4,3,4,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-middle-square-x > 0.5) & (bottom-middle-square-x > 0.5) & (top-middle-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
514,12,7,4,3,4,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o > 0.5) & (middle-left-square-x <= 0.5) & (middle-right-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-middle-square-x > 0.5) & (bottom-middle-square-x > 0.5) & (top-middle-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5)
515,8,7,5,8,7,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x > 0.5) & (middle-left-square-o <= 0.5) & (top-middle-square-b <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-middle-square-x > 0.5) & (bottom-middle-square-x > 0.5) & (top-middle-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (top-left-square-b > 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o > 0.5) & (middle-left-square-b > 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-x <= 0.5) & (bottom-left-square-b > 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (middle-right-square-o <= 0.5) & (bottom-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5)
516,7,8,12,6,5,(bottom-right-square-o <= 0.5) & (top-right-square-o > 0.5) & (middle-right-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (middle-left-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-middle-square-o <= 0.5) & (top-right-square-o > 0.5) & (bottom-left-square-x > 0.5) & (middle-right-square-x <= 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-middle-square-x > 0.5) & (top-middle-square-x > 0.5) & (top-left-square-o <= 0.5) & (top-left-square-x <= 0.5) & (middle-right-square-x <= 0.5) & (top-right-square-b <= 0.5) & (middle-left-square-o <= 0.5) & (middle-left-square-x <= 0.5) & (middle-right-square-o > 0.5),(middle-middle-square-o > 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-x > 0.5) & (top-middle-square-x > 0.5) & (bottom-left-square-o <= 0.5) & (middle-left-square-b > 0.5),(middle-middle-square-o > 0.5) & (bottom-right-square-x > 0.5) & (top-right-square-x <= 0.5) & (bottom-left-square-x > 0.5) & (bottom-middle-square-x > 0.5)
517,5,7,10,7,7,(bottom-right-square-o > 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-right-square-b > 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (middle-middle-square-x > 0.5) & (bottom-middle-square-x > 0.5) & (top-middle-square-b <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x > 0.5) & (middle-middle-square-b <= 0.5) & (bottom-middle-square-b <= 0.5) & (bottom-right-square-b <= 0.5) & (top-right-square-x <= 0.5) & (top-middle-square-x > 0.5) & (bottom-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-right-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (middle-left-square-o <= 0.5) & (top-left-square-x <= 0.5)
518,5,7,12,7,9,(bottom-right-square-o > 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-right-square-b > 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-x > 0.5) & (middle-middle-square-x > 0.5) & (bottom-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-middle-square-b <= 0.5) & (middle-left-square-x <= 0.5) & (middle-right-square-b <= 0.5) & (bottom-right-square-x <= 0.5) & (top-left-square-x <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-x <= 0.5) & (bottom-middle-square-x > 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (top-middle-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-right-square-o > 0.5) & (bottom-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (top-left-square-o <= 0.5) & (middle-right-square-x > 0.5) & (top-right-square-b > 0.5)
519,10,6,5,5,3,(bottom-right-square-o > 0.5) & (bottom-left-square-o <= 0.5) & (bottom-middle-square-x > 0.5) & (middle-left-square-o > 0.5) & (bottom-left-square-x > 0.5) & (top-left-square-x <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-x <= 0.5) & (top-middle-square-x > 0.5) & (top-right-square-b > 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-x <= 0.5) & (top-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o > 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5)
520,9,6,5,3,5,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-left-square-o > 0.5) & (top-left-square-b > 0.5) & (middle-right-square-o > 0.5) & (top-right-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-x <= 0.5) & (top-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o > 0.5) & (bottom-right-square-o <= 0.5) & (top-left-square-o <= 0.5)
521,12,6,5,3,3,(bottom-right-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-left-square-b <= 0.5) & (top-middle-square-x > 0.5) & (top-left-square-x <= 0.5) & (bottom-left-square-o <= 0.5) & (middle-right-square-o > 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-b > 0.5) & (bottom-middle-square-o <= 0.5) & (bottom-left-square-x <= 0.5) & (top-right-square-x <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (top-middle-square-o <= 0.5) & (middle-left-square-o > 0.5) & (middle-right-square-x <= 0.5) & (top-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (middle-right-square-o > 0.5) & (middle-left-square-x <= 0.5) & (top-left-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-left-square-o <= 0.5) & (bottom-right-square-o <= 0.5),(middle-middle-square-o <= 0.5) & (top-right-square-o <= 0.5) & (bottom-left-square-o <= 0.5)
